COLE_COD_MCPIO_UBICACION,Ano,FAMI_TIENEINTERNET,FAMI_TIENECOMPUTADOR,ESTU_TIENEETNIA,COLE_NATURALEZA,PUNT_GLOBAL,MUNICIPIO,DEPARTAMENTO,PoblacionTotal,ConexMilHab,NoAccesosFijos,Indice_Rural
05031,2019,0.5591054313099042,0.47530864197530864,0.0,0.0,228.6981707317073,AMALFI,ANTIOQUIA,26552.0,60.089635432359145,1595.5,0.4323968062669479
05034,2014,0.32075471698113206,0.4549266247379455,0.018867924528301886,0.0859538784067086,245.57232704402514,ANDES,ANTIOQUIA,42328.0,53.67605367605368,2272.0,0.5342562842562842
05034,2015,0.3127853881278539,0.4337899543378995,0.0045662100456621,0.0502283105022831,243.10502283105023,ANDES,ANTIOQUIA,42495.0,58.971643722790915,2506.0,0.5340863631015413
05034,2016,0.3940677966101695,0.5423728813559322,0.014830508474576272,0.08898305084745763,253.5635593220339,ANDES,ANTIOQUIA,42564.0,59.83930081759233,2547.0,0.5337139366600884
05034,2017,0.34232365145228216,0.41832669322709165,0.009881422924901186,0.10474308300395258,245.2687747035573,ANDES,ANTIOQUIA,42614.0,65.30717604543108,2783.0,0.5317031961327263
05034,2018,0.3788546255506608,0.43775933609958506,0.002028397565922921,0.09127789046653144,238.89046653144015,ANDES,ANTIOQUIA,43269.0,69.16614666389331,2992.75,0.5319975039866879
05034,2019,0.4077079107505071,0.4616858237547893,0.005649717514124294,0.08286252354048965,239.0131826741996,ANDES,ANTIOQUIA,43713.0,75.05204401436643,3280.75,0.523002310525473
05036,2014,0.23214285714285715,0.5,0.0,0.0,238.21428571428572,ANGELÓPOLIS,ANTIOQUIA,5651.0,21.500619359405416,121.5,0.6255529994691205
05036,2015,0.14285714285714285,0.5102040816326531,0.0,0.0,237.57142857142858,ANGELÓPOLIS,ANTIOQUIA,5659.0,25.181127407669198,142.5,0.6269658950344584
05036,2016,0.2698412698412698,0.42857142857142855,0.0,0.0,248.11111111111111,ANGELÓPOLIS,ANTIOQUIA,5649.0,27.52699592848292,155.5,0.6259514958399717
05036,2017,0.2,0.3684210526315789,0.017241379310344827,0.0,232.41379310344828,ANGELÓPOLIS,ANTIOQUIA,5669.0,35.72058564120656,202.5,0.6235667666255071
05036,2018,0.2835820895522388,0.4788732394366197,0.0,0.0,237.86301369863014,ANGELÓPOLIS,ANTIOQUIA,5756.0,39.17651146629604,225.5,0.6233495482974287
05036,2019,0.18181818181818182,0.3333333333333333,0.014285714285714285,0.0,213.55714285714285,ANGELÓPOLIS,ANTIOQUIA,5790.0,45.42314335060449,263.0,0.6110535405872194
05038,2014,0.15454545454545454,0.34545454545454546,0.0,0.0,223.44545454545454,ANGOSTURA,ANTIOQUIA,11096.0,20.99855803893295,233.0,0.7798305695746215
05038,2015,0.22330097087378642,0.4077669902912621,0.0,0.0,225.14563106796118,ANGOSTURA,ANTIOQUIA,11174.0,22.552353678181493,252.0,0.7782351888312153
05038,2016,0.15827338129496402,0.2949640287769784,0.014388489208633094,0.0,224.10071942446044,ANGOSTURA,ANTIOQUIA,11210.0,25.066904549509367,281.0,0.7756467439785906
05038,2017,0.16853932584269662,0.3626373626373626,0.0,0.0,216.59782608695653,ANGOSTURA,ANTIOQUIA,11241.0,26.821457165732586,301.5,0.7722622542478427
05038,2018,0.14965986394557823,0.23870967741935484,0.0,0.0,205.1375,ANGOSTURA,ANTIOQUIA,11437.0,29.640640027979366,339.0,0.7702194631459299
05038,2019,0.19718309859154928,0.18243243243243243,0.0,0.0,209.53896103896105,ANGOSTURA,ANTIOQUIA,11462.0,32.171523294363986,368.75,0.7701971732681906
05040,2014,0.27906976744186046,0.3488372093023256,0.0,0.0,227.17441860465115,ANORÍ,ANTIOQUIA,13067.0,40.292339481135684,526.5,0.4690441570368103
05040,2015,0.4968152866242038,0.43312101910828027,0.025477707006369428,0.0,218.69426751592357,ANORÍ,ANTIOQUIA,14568.0,41.4607358594179,604.0,0.5135914332784185
05040,2016,0.3111111111111111,0.31666666666666665,0.0,0.0,217.06666666666666,ANORÍ,ANTIOQUIA,16180.0,42.243510506798515,683.5,0.5533374536464771
05040,2017,0.3302752293577982,0.36036036036036034,0.0,0.0,225.141592920354,ANORÍ,ANTIOQUIA,17394.0,41.79602161664942,727.0,0.5745659422789468
05040,2018,0.2388663967611336,0.2596899224806202,0.0,0.0,207.4318181818182,ANORÍ,ANTIOQUIA,18321.0,45.712570274548334,837.5,0.5833196877899678
05040,2019,0.39690721649484534,0.3333333333333333,0.0,0.0,202.78391959798995,ANORÍ,ANTIOQUIA,18737.0,57.76004696589636,1082.25,0.5728771948550996
05042,2014,0.4,0.488135593220339,0.0,0.17627118644067796,242.6542372881356,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,25347.0,87.88022251153983,2227.5,0.38939519469759737
05042,2015,0.34402332361516036,0.46647230320699706,0.023323615160349854,0.1924198250728863,225.54227405247812,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,25489.0,103.18176468280434,2630.0,0.3875397230177724
05042,2016,0.515748031496063,0.5354330708661418,0.003937007874015748,0.06299212598425197,238.68503937007873,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,25600.0,112.8515625,2889.0,0.384765625
05042,2017,0.5753968253968254,0.525096525096525,0.0,0.05725190839694656,249.0916030534351,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,25727.0,116.47296614451743,2996.5,0.37901815213588835
05042,2018,0.5412844036697247,0.4255952380952381,0.0,0.05202312138728324,232.34682080924856,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,26164.0,110.16090811802476,2882.25,0.37505733068338176
05042,2019,0.5628571428571428,0.4602739726027397,0.0026954177897574125,0.026954177897574125,228.17520215633422,SANTAFÉ DE ANTIOQUIA,ANTIOQUIA,26598.0,105.25227460711332,2799.5,0.3614181517407324
05044,2014,0.05357142857142857,0.2857142857142857,0.0,0.32142857142857145,229.42857142857142,ANZA,ANTIOQUIA,6872.0,18.62630966239814,128.0,0.8220314318975553
05044,2015,0.14084507042253522,0.4507042253521127,0.0,0.36619718309859156,226.18309859154928,ANZA,ANTIOQUIA,6903.0,19.629146747790816,135.5,0.8223960596841953
05044,2016,0.16666666666666666,0.4166666666666667,0.0,0.0,254.33333333333334,ANZA,ANTIOQUIA,6910.0,19.46454413892909,134.5,0.8217076700434154
05044,2017,0.19642857142857142,0.2857142857142857,0.0,0.0,238.22413793103448,ANZA,ANTIOQUIA,6905.0,22.302679217958,154.0,0.8204199855177408
05044,2018,0.11392405063291139,0.34177215189873417,0.0,0.0,233.46835443037975,ANZA,ANTIOQUIA,7010.0,23.002853067047077,161.25,0.8205420827389444
05044,2019,0.3088235294117647,0.3,0.0136986301369863,0.0,225.8082191780822,ANZA,ANTIOQUIA,7085.0,25.264643613267467,179.0,0.8173606210303458
05045,2014,0.4747550866616428,0.5621703089675961,0.09947249434815374,0.12584777694046723,236.79653353428787,APARTADÓ,ANTIOQUIA,117992.0,84.98033765001017,10027.0,0.1879788460234592
05045,2015,0.5433526011560693,0.6119942196531792,0.0773121387283237,0.13872832369942195,240.18569364161849,APARTADÓ,ANTIOQUIA,118489.0,102.68463739250058,12167.0,0.18788241946509804
05045,2016,0.5426573426573427,0.551048951048951,0.044055944055944055,0.11048951048951049,245.6034965034965,APARTADÓ,ANTIOQUIA,118802.0,113.63445059847477,13500.0,0.18758943452130436
05045,2017,0.6165904637491836,0.5253485424588086,0.05319784817692767,0.09563658099222953,242.88523610280933,APARTADÓ,ANTIOQUIA,119318.0,128.95791079300693,15387.0,0.18612447409443672
